CODE;EN
EMAIL_ADD_SUCCESS;Added email "{}" to user "{}"
;
PASSWORD_RECOVERY_NO_USERNAME;No username provided
PASSWORD_RECOVERY_NO_USER_IN_DB;The "{}" does not exist
PASSWORD_RECOVERY_NO_USER_EMAIL;The "{}" does not have mail
PASSWORD_RECOVERY_SUCCESS_SEND_MAIL;Successfully sent email to "{}"
PASSWORD_RECOVERY_EMAIL_NOT_VALID;The recipient address "{}" is not a valid RFC-5321 address.
;
WIKI_HELP;"Available arguments: all, armor, heal, material, melee, range"
WIKI_INCORRECT_CATEGORY;Incorrect category. Use "wiki" to get all categories
WIKI_AMMO_FORMAT;{} ~t {} ~t {} ~n
WIKI_ARMOR_FORMAT;{} ~t {} ~t {} ~t {} ~t {} ~n
WIKI_HEAL_FORMAT;{} ~t {} ~t {} ~t {} ~n
WIKI_MATERIAL_FORMAT;{} ~t {} ~t {} ~n
WIKI_MELEE_FORMAT;{} ~t {} ~t {} ~t {} ~t {} ~t {} ~n
WIKI_RANGE_FORMAT;{} ~t {} ~t {} ~t {} ~t {} ~t {} ~t {} ~n
;
SELL_NO_ITEM_PROVIDED;No item name provided
SELL_INVALID_COUNT;Please re-enter count
SELL_SUCCESS;Successfully sold {} "{}"(-s) for {} money
SELL_NO_ITEM_FOUND;Can't find "{}" in your inventory
;
BUY_NO_ITEM_PROVIDED;No item name provided
BUY_INVALID_COUNT;Please re-enter count
BUY_NO_MONEY;You have no money
BUY_SUSSESS;Successfully bought {} "{}"(-s) for {} money
BUY_NO_ITEM_FOUND;Can't find "{}" in shops
;
;
ITEM_ARMOR_DEBUG_NAME;Debug armor
ITEM_ARMOR_DEBUG_DESC;Debug armor desc
;
;
ITEM_HEAL_DEBUG_NAME;Debug heal
ITEM_HEAL_DEBUG_DESC;Debug heal desc
ITEM_HEAL_LOW_NAME;Small medkit
ITEM_HEAL_LOW_DESC;Heals by small amount of hp
;
;
ITEM_MATERIAL_DEBUG_NAME;Debug material
ITEM_MATERIAL_DEBUG_DESC;Debug material desc
;
;
ITEM_MELEE_WEAPON_DEBUG_NAME;Debug melee
ITEM_MELEE_WEAPON_DEBUG_DESC;Debug melee desc
;
;
ITEM_RANGE_WEAPON_DEBUG_NAME;Debug range
ITEM_RANGE_WEAPON_DEBUG_DESC;Debug range desc
;
CHAT_NO_FUNC;No function provided
CHAT_INVALID_FUNC;"Available function arguments: add, remove"
CHAT_NO_NAME;No name provided
CHAT_ADD_INVALID_NAME;User not found
CHAT_ADD_ALREADY;You already have this chat
CHAT_ADD_SUCCESS;Successfully added chat with user "{}"
CHAT_REMOVE_INVALID_NAME;No chat with user "{}"
CHAT_REMOVE_SUCCESS;Successfully removed chat with user "{}"
;
;
USER_NOT_FOUND;You have not logged
EQUIP_NO_ITEM;No item provided
EQUIP_INCORRECT_TYPE;Type "{}" not subject to equipment
EQUIP_NO_SUCH_ITEM;The item does not exist
EQUIP_NO_IN_INV;No such item in inventory
EQUIP_SUCCESS;Successfully equip item
;
BTL_CREATE_NO_TYPE;No lobby type provided
BTL_CREATE_SUCCESS;Created lobby {} with {} type. You already in
;
BTL_ENTER_NO_ID;No battle id
BTL_ENTER_INVALID_ID;Invalid battle id
BTL_ENTER_SUCCESS;You entered battle {}
;
BTL_ESC_NOT_TURN;It's not your turn!
BTL_ESC_TO_ENEMY;Your enemy escaped from battle
BTL_ESC_SUCCESS;You successfully escaped battle
BTL_ESC_UNSUCCESS;You can't escape battle
;
BTL_ATK_NOT_TURN;It's not your turn!
BTL_ATK_SKIP_TO_ENEMY;Your enemy skipped turn
BTL_ATK_ENEMY_ATK;Your enemy attacked you by {} HP
BTL_ATK_NO_TYPE;No attack type provided. Use 'melee' or 'range'
BTL_ATK_INVALID_TYPE;Invalid attack type
BTL_ATK_NO_WEAP;No weapon
BTL_ATK_LESS_ENG;You have less energy than needed. Needed: {}
BTL_ATK_SUCCESS_ATK;Successfully attacked enemy by {} HP
BTL_ATK_UNSUCCESS_ATK;You didn't hit enemy
;
BTL_HEAL_NOT_TURN;It's not your turn!
BTL_HEAL_ERR;Error while healing
BTL_HEAL_SUCC_TO_ENEM;Your enemy successfully healed by {} HP
BTL_HEAL_SUCC;You successfully healed by {} HP. Your HP - {}
;
BTL_PASS_NOT_TURN;It's not your turn!
BTL_PASS_SKIP_TO_ENEM;Your enemy skipped turn
BTL_PASS_REGEN;You successfully regenerated {} energy
;
BTL_BOT_ATK;Enemy bot hit you by {} HP
;
BTL_BOT_PASS;Enemy bot regenerated 5 energy
